timestamp,x,y,heading,velocity_x,velocity_y,steering_input,throttle_input
1787620252.477518,400.0,300.0,0.0,-0.0,0.0,0.00037434895833333287,-0.0003519694010416675
1787620252.493897,400.0,300.0,0.0,-0.0,0.0,0.00037434895833333287,-0.0003519694010416675
1787620252.5109031,400.0,300.0,0.0,-0.0,0.0,0.00037434895833333287,-0.0003519694010416675
1787620252.5278988,400.0,300.0,0.0,-0.0,0.0,0.00037434895833333287,-0.0003519694010416675
1787620252.544066,400.0,300.0,0.0,-0.0,0.0,0.00037434895833333287,-0.0003519694010416675
1787620252.56098,400.0,300.0,0.0,-0.0,0.0,0.00037434895833333287,-0.0003519694010416675
1787620252.577936,400.0,300.0,0.0,-0.0,0.0,0.00037434895833333287,-0.0003519694010416675
1787620252.5947,400.0,300.0,0.0,-0.0,0.0,0.00037434895833333287,-0.0003519694010416675
1787620252.6120498,400.0,300.0,0.0,-0.0,0.0,0.00037434895833333287,-0.0003519694010416675
1787620252.629376,400.0,300.0,0.0,-0.0,0.0,0.00037434895833333287,-0.0003519694010416675
1787620252.64628,400.0,300.0,0.0,-0.0,0.0,0.00037434895833333287,-0.0003519694010416675
1787620252.663126,400.0,300.0,0.0,-0.0,0.0,0.00037434895833333287,-0.0003519694010416675
1787620252.6799848,400.0,300.0,0.0,-0.0,0.0,0.00037434895833333287,-0.0003519694010416675
1787620252.696861,400.0,300.0,0.0,-0.0,0.0,0.00037434895833333287,-0.0003519694010416675
1787620252.713768,400.0,300.0,0.0,-0.0,0.0,0.00037434895833333287,-0.0003519694010416675
1787620252.730788,400.0,300.0,0.0,-0.0,0.0,0.00037434895833333287,-0.0003519694010416675
1787620252.747624,400.0,300.0,0.0,-0.0,0.0,0.00037434895833333287,-0.0003519694010416675
1787620252.765463,400.0,300.0,0.0,-0.0,0.0,0.00037434895833333287,-0.0003519694010416675
1787620252.782303,400.0,300.0,0.0,-0.0,0.0,0.00037434895833333287,-0.0003519694010416675
1787620252.79918,400.0,300.0,0.0,-0.0,0.0,0.00037434895833333287,-0.0003519694010416675
1787620252.815745,400.0,300.0,0.0,-0.0,0.0,0.00037434895833333287,-0.0003519694010416675
1787620252.832864,400.0,300.0,0.0,-0.0,0.0,0.00037434895833333287,-0.0003519694010416675
1787620252.849643,400.0,300.0,0.0,-0.0,0.0,0.00037434895833333287,-0.0003519694010416675
1787620252.867352,400.0,300.0,0.0,-0.0,0.0,0.00037434895833333287,-0.0003519694010416675
1787620252.884128,400.0,300.0,0.0,-0.0,0.0,0.00037434895833333287,-0.0003519694010416675
1787620252.9005718,400.0,300.0,0.0,-0.0,0.0,0.00037434895833333287,-0.0003519694010416675
1787620252.917323,400.0,300.0,0.0,-0.0,0.0,0.00037434895833333287,-0.0003519694010416675
1787620252.933828,400.0,300.0,0.0,-0.0,0.0,0.00037434895833333287,-0.0003519694010416675
1787620252.951234,400.0,300.0,0.0,-0.0,0.0,0.00037434895833333287,-0.0003519694010416675
1787620252.968106,400.0,300.0,0.0,-0.0,0.0,0.00037434895833333287,-0.0003519694010416675
